School name,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Latitude,Longitude
Sir John Cass's Foundation Primary School,London,London,City of London,Cities of London and Westminster,EC3A 5DE,51.51366,-0.07748
Thomas Coram Centre,London,London,Camden,Holborn and St Pancras,WC1N 2NY,51.52547,-0.12078
CCfL Key Stage 4 PRU,London,London,Camden,Holborn and St Pancras,NW3 2NY,51.55417,-0.16078
Camden Primary Pupil Referral Unit,London,London,Camden,Holborn and St Pancras,NW1 3EX,51.52771,-0.14061
Argyle Primary School,London,London,Camden,Holborn and St Pancras,WC1H 9EG,51.52875,-0.12403
Beckford Primary School,London,London,Camden,Hampstead and Kilburn,NW6 1QL,51.55075,-0.19948
Brecknock Primary School,London,London,Camden,Holborn and St Pancras,NW1 9AL,51.54748,-0.12787
Brookfield Primary School,London,London,Camden,Holborn and St Pancras,N19 5DH,51.56339,-0.14506
Carlton Primary School,London,London,Camden,Holborn and St Pancras,NW5 4AX,51.55159,-0.15001
Edith Neville Primary School,London,London,Camden,Holborn and St Pancras,NW1 1DN,51.53276,-0.13113
Fleet Primary School,London,London,Camden,Holborn and St Pancras,NW3 2QT,51.55346,-0.16094
Hawley Primary School,London,London,Camden,Holborn and St Pancras,NW1 8RP,51.54271,-0.14382
Netley Primary School & Centre for Autism,London,London,Camden,Holborn and St Pancras,NW1 3EX,51.52771,-0.14061
New End Primary School,London,London,Camden,Hampstead and Kilburn,NW3 1HU,51.55813,-0.17653
Primrose Hill School,London,London,Camden,Holborn and St Pancras,NW1 8JL,51.53917,-0.1518
Rhyl Primary School,London,London,Camden,Holborn and St Pancras,NW5 3HB,51.54771,-0.15058
Richard Cobden Primary School,London,London,Camden,Holborn and St Pancras,NW1 0LL,51.53587,-0.13617
Torriano Primary School,London,London,Camden,Holborn and St Pancras,NW5 2SJ,51.54967,-0.13284
Gospel Oak Primary School,London,London,Camden,Holborn and St Pancras,NW3 2JB,51.55462,-0.15296
Fitzjohn's Primary School,London,London,Camden,Hampstead and Kilburn,NW3 6NP,51.55339,-0.17586
Eleanor Palmer Primary School,London,London,Camden,Holborn and St Pancras,NW5 2JA,51.55436,-0.13909
"Christ Church Primary School, Hampstead",London,London,Camden,Hampstead and Kilburn,NW3 1JH,51.55925,-0.17662
Christ Church School,London,London,Camden,Holborn and St Pancras,NW1 4BD,51.53077,-0.14434
Emmanuel Church of England Primary School,London,London,Camden,Hampstead and Kilburn,NW6 1TF,51.55183,-0.19454
Hampstead Parochial Church of England Primary School,London,London,Camden,Hampstead and Kilburn,NW3 6TX,51.55644,-0.17902
"Holy Trinity CofE Primary School, NW3",London,London,Camden,Hampstead and Kilburn,NW3 5SQ,51.54625,-0.17815
"Holy Trinity and Saint Silas CofE Primary School, NW1",London,London,Camden,Holborn and St Pancras,NW1 8DE,51.54454,-0.14522
Kentish Town Church of England Primary School,London,London,Camden,Holborn and St Pancras,NW5 2TU,51.54972,-0.13927
Rosary Roman Catholic Primary School,London,London,Camden,Hampstead and Kilburn,NW3 2AE,51.55161,-0.16608
St Alban's Church of England Primary School,London,London,Camden,Holborn and St Pancras,EC1N 7SD,51.52017,-0.11117
St Aloysius Catholic Primary School,London,London,Camden,Holborn and St Pancras,NW1 1PS,51.53162,-0.13435
St Dominic's Catholic Primary School,London,London,Camden,Holborn and St Pancras,NW5 4JS,51.55168,-0.15752
St George the Martyr Church of England Primary School,London,London,Camden,Holborn and St Pancras,WC1N 2NX,51.52199,-0.11625
St Josephs Catholic Primary School,London,London,Camden,Holborn and St Pancras,WC2B 5NA,51.51618,-0.12185
St Mary's Kilburn Church of England Primary School,London,London,Camden,Hampstead and Kilburn,NW6 4PG,51.54036,-0.19335
St Mary and St Pancras Church of England Primary School,London,London,Camden,Holborn and St Pancras,NW1 1QP,51.53237,-0.13444
St Michael's Church of England Primary School,London,London,Camden,Holborn and St Pancras,NW1 0JA,51.53909,-0.13839
St Patrick's Catholic Primary School,London,London,Camden,Holborn and St Pancras,NW5 3AH,51.5492,-0.14281
St Paul's Church of England Primary School,London,London,Camden,Hampstead and Kilburn,NW3 3DS,51.54138,-0.16373
St Eugene de Mazenod Roman Catholic Primary School,London,London,Camden,Hampstead and Kilburn,NW6 4LS,51.54115,-0.1938
Our Lady Roman Catholic Primary School,London,London,Camden,Holborn and St Pancras,NW1 0DP,51.53886,-0.13745
Haverstock School,London,London,Camden,Holborn and St Pancras,NW3 2BQ,51.54479,-0.15399
Parliament Hill School,London,London,Camden,Holborn and St Pancras,NW5 1RL,51.55844,-0.14964
Regent High School,London,London,Camden,Holborn and St Pancras,NW1 1RX,51.53278,-0.13294
Hampstead School,London,London,Camden,Hampstead and Kilburn,NW2 3RT,51.55561,-0.20704
Acland Burghley School,London,London,Camden,Holborn and St Pancras,NW5 1UJ,51.55741,-0.13962
The Camden School for Girls,London,London,Camden,Holborn and St Pancras,NW5 2DB,51.54598,-0.13469
Maria Fidelis Catholic School FCJ,London,London,Camden,Holborn and St Pancras,NW1 1LY,51.52978,-0.13325
William Ellis School,London,London,Camden,Holborn and St Pancras,NW5 1RN,51.5587,-0.15026
La Sainte Union Catholic Secondary School,London,London,Camden,Holborn and St Pancras,NW5 1RP,51.55999,-0.14944
Children's Hospital School at Gt Ormond Street and UCH,London,London,Camden,Holborn and St Pancras,WC1N 3JH,51.52221,-0.11992
Frank Barnes School for Deaf Children ,London,London,Camden,Holborn and St Pancras,N1C 4BT,51.53745,-0.12705
Camden Centre for Learning (CCfL) Special School,London,London,Camden,Holborn and St Pancras,NW1 8DP,51.54443,-0.14704
Royal Free Hospital Children's School,London,London,Camden,Hampstead and Kilburn,NW3 2QG,51.55322,-0.16532
Swiss Cottage School - Development & Research Centre,London,London,Camden,Hampstead and Kilburn,NW8 6HX,51.5409,-0.17134
Rachel McMillan Nursery School and Children's Centre,London,London,Greenwich,Greenwich and Woolwich,SE8 3EH,51.48134,-0.02325
Pound Park Nursery School,London,London,Greenwich,Greenwich and Woolwich,SE7 8AF,51.48811,0.04033
Abbey Wood Nursery School,London,London,Greenwich,Erith and Thamesmead,SE2 0SX,51.48617,0.11241
Robert Owen Nursery School,London,London,Greenwich,Greenwich and Woolwich,SE10 0EA,51.48712,0.00609
Newhaven Pupil Referral Unit,London,London,Greenwich,Eltham,SE9 6HR,51.46079,0.03835
Bannockburn Primary School,London,London,Greenwich,Erith and Thamesmead,SE18 1HE,51.4868,0.09603
Morden Mount Primary School,London,London,Greenwich,Greenwich and Woolwich,SE13 7QP,51.47015,-0.01442
Cherry Orchard Primary School,London,London,Greenwich,Greenwich and Woolwich,SE7 7DG,51.47582,0.03366
Ealdham Primary School,London,London,Greenwich,Eltham,SE9 6BP,51.45673,0.03527
Fossdene Primary School,London,London,Greenwich,Greenwich and Woolwich,SE7 7NQ,51.48389,0.02689
Gallions Mount Primary School,London,London,Greenwich,Erith and Thamesmead,SE18 1JR,51.48395,0.09812
Gordon Primary School,London,London,Greenwich,Eltham,SE9 1QG,51.45861,0.05293
Haimo Primary School,London,London,Greenwich,Eltham,SE9 6DY,51.45539,0.04163
Henwick Primary School,London,London,Greenwich,Eltham,SE9 6NZ,51.46278,0.04258
Invicta Primary School,London,London,Greenwich,Greenwich and Woolwich,SE3 7HE,51.47897,0.02056
Kidbrooke Park Primary School,London,London,Greenwich,Eltham,SE3 8HS,51.47002,0.03218
Meridian Primary School,London,London,Greenwich,Greenwich and Woolwich,SE10 9NY,51.48421,-0.00051
Plumcroft Primary School,London,London,Greenwich,Eltham,SE18 3HW,51.47701,0.07396
Sherington Primary School,London,London,Greenwich,Greenwich and Woolwich,SE7 7JP,51.48009,0.02568
Thorntree Primary School,London,London,Greenwich,Greenwich and Woolwich,SE7 8AE,51.4875,0.04161
Wyborne Primary School,London,London,Greenwich,Eltham,SE9 2EH,51.43985,0.07035
Montbelle Primary School,London,London,Greenwich,Eltham,SE9 3EY,51.42754,0.06182
Boxgrove Primary School,London,London,Greenwich,Erith and Thamesmead,SE2 9JP,51.49326,0.11644
De Lucy Primary School,London,London,Greenwich,Erith and Thamesmead,SE2 9PD,51.49547,0.10998
Wingfield Primary School,London,London,Greenwich,Eltham,SE3 9GJ,51.4612,0.02245
Cardwell Primary School,London,London,Greenwich,Greenwich and Woolwich,SE18 5LP,51.49074,0.05348
Heronsgate Primary School,London,London,Greenwich,Greenwich and Woolwich,SE28 0EA,51.49405,0.08275
Linton Mead Primary School,London,London,Greenwich,Erith and Thamesmead,SE28 8DT,51.50801,0.11324
Greenslade Primary School,London,London,Greenwich,Eltham,SE18 2QQ,51.47903,0.08555
Mulgrave Primary School,London,London,Greenwich,Greenwich and Woolwich,SE18 5DL,51.48855,0.06074
Charlton Manor Primary School,London,London,Greenwich,Eltham,SE7 7EF,51.47763,0.03678
Christ Church Church of England Primary School,London,London,Greenwich,Greenwich and Woolwich,SE10 0DZ,51.48743,0.007
"Christ Church Church of England Primary School, Shooters Hill",London,London,Greenwich,Eltham,SE18 3RS,51.46983,0.06087
Eltham Church of England Primary School,London,London,Greenwich,Eltham,SE9 1TR,51.45131,0.05689
Our Lady of Grace Catholic Primary School,London,London,Greenwich,Greenwich and Woolwich,SE7 7HR,51.48143,0.02838
St Joseph's Catholic Primary School,London,London,Greenwich,Greenwich and Woolwich,SE10 9AN,51.48629,0.00573
St Margaret's Church of England Primary School,London,London,Greenwich,Greenwich and Woolwich,SE18 7RL,51.48241,0.07438
Saint Mary Magdalene Church of England All Through School,London,London,Greenwich,Greenwich and Woolwich,SE18 5PW,51.49137,0.06107
St Patrick's Catholic Primary School,London,London,Greenwich,Greenwich and Woolwich,SE18 7QG,51.48847,0.08539
St Alfege with St Peter's Church of England Primary School,London,London,Greenwich,Greenwich and Woolwich,SE10 9RB,51.48172,-0.01255
St Peter's Catholic Primary School,London,London,Greenwich,Greenwich and Woolwich,SE18 7BN,51.48661,0.06882
St Thomas More Catholic Primary School,London,London,Greenwich,Eltham,SE9 6NS,51.46258,0.04489
St Thomas A Becket Roman Catholic Primary School,London,London,Greenwich,Erith and Thamesmead,SE2 9LY,51.49156,0.1042
Holy Family Catholic Primary School,London,London,Greenwich,Eltham,SE3 9YX,51.45994,0.03039
Notre Dame Catholic Primary School,London,London,Greenwich,Greenwich and Woolwich,SE18 3SJ,51.48027,0.06592
St Margaret Clitherow Catholic Primary School,London,London,Greenwich,Erith and Thamesmead,SE28 8GB,51.50096,0.11333
Bishop John Robinson Church of England Primary School,London,London,Greenwich,Erith and Thamesmead,SE28 8LW,51.50897,0.11788
Eltham Hill School,London,London,Greenwich,Eltham,SE9 5EE,51.45091,0.04578
Plumstead Manor School,London,London,Greenwich,Greenwich and Woolwich,SE18 1QF,51.4819,0.08461
Thomas Tallis School,London,London,Greenwich,Eltham,SE3 9PX,51.46608,0.02627
The John Roan School,London,London,Greenwich,Greenwich and Woolwich,SE3 7QR,51.47869,0.00929
St Ursula's Convent School,London,London,Greenwich,Greenwich and Woolwich,SE10 8HN,51.47578,-0.00581
Hawksmoor School,London,London,Greenwich,Erith and Thamesmead,SE28 8AS,51.50529,0.1118
King's Oak School,London,London,Greenwich,Eltham,SE9 5LX,51.44923,0.03691
Wentworth Nursery School and Children's Centre,London,London,Hackney,Hackney South and Shoreditch,E9 5BY,51.54325,-0.04142
Comet Nursery School and Children's Centre,London,London,Hackney,Hackney South and Shoreditch,N1 5RF,51.5359,-0.08071
Berger Primary School,London,London,Hackney,Hackney South and Shoreditch,E9 6HB,51.54649,-0.04513
Colvestone Primary School,London,London,Hackney,Hackney North and Stoke Newington,E8 2LG,51.54912,-0.07254
Daubeney Primary School,London,London,Hackney,Hackney South and Shoreditch,E5 0EG,51.55235,-0.03787
De Beauvoir Primary School,London,London,Hackney,Hackney South and Shoreditch,N1 4BS,51.54571,-0.07971
Gainsborough Primary School,London,London,Hackney,Hackney South and Shoreditch,E9 5ND,51.54615,-0.02549
Lauriston School,London,London,Hackney,Hackney South and Shoreditch,E9 7JS,51.53687,-0.04687
London Fields Primary School,London,London,Hackney,Hackney South and Shoreditch,E8 3RL,51.5375,-0.05903
Millfields Community School,London,London,Hackney,Hackney North and Stoke Newington,E5 0SH,51.55586,-0.05096
Morningside Primary School,London,London,Hackney,Hackney South and Shoreditch,E9 6LL,51.5465,-0.05025
Orchard Primary School,London,London,Hackney,Hackney South and Shoreditch,E9 7BB,51.54084,-0.04905
Queensbridge Primary School,London,London,Hackney,Hackney South and Shoreditch,E8 4ET,51.53928,-0.07174
Randal Cremer Primary School,London,London,Hackney,Hackney South and Shoreditch,E2 8JG,51.53337,-0.07485
Princess May Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 8DF,51.55277,-0.07743
Sebright School,London,London,Hackney,Hackney South and Shoreditch,E2 8QH,51.53336,-0.06548
Shacklewell Primary School,London,London,Hackney,Hackney North and Stoke Newington,E8 2EA,51.55282,-0.07152
Southwold Primary School,London,London,Hackney,Hackney North and Stoke Newington,E5 9NL,51.56343,-0.05363
Thomas Fairchild Community School,London,London,Hackney,Hackney South and Shoreditch,N1 7HA,51.53347,-0.0917
Tyssen Community Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 6LR,51.56857,-0.06636
Shoreditch Park Primary School,London,London,Hackney,Hackney South and Shoreditch,N1 5JN,51.53502,-0.08585
Woodberry Down Community Primary School,London,London,Hackney,Hackney North and Stoke Newington,N4 1SY,51.57319,-0.09105
Kingsmead Primary School,London,London,Hackney,Hackney South and Shoreditch,E9 5PP,51.55383,-0.03498
Sir Thomas Abney School,London,London,Hackney,Hackney North and Stoke Newington,N16 5ED,51.57079,-0.08144
Grasmere Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 9PD,51.55552,-0.0839
Jubilee Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 6NR,51.56607,-0.06594
Nightingale Primary School,London,London,Hackney,Hackney North and Stoke Newington,E5 8PH,51.55807,-0.0633
Baden-Powell School,London,London,Hackney,Hackney North and Stoke Newington,E5 8DN,51.55777,-0.05841
Harrington Hill Primary School,London,London,Hackney,Hackney North and Stoke Newington,E5 9EY,51.56764,-0.05336
Holmleigh Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 5PU,51.57025,-0.07423
Grazebrook Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 0QP,51.56419,-0.08313
Parkwood Primary School,London,London,Hackney,Hackney North and Stoke Newington,N4 2HQ,51.56506,-0.09931
Benthal Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 7AU,51.55829,-0.06518
Mandeville Primary School,London,London,Hackney,Hackney South and Shoreditch,E5 0BT,51.55713,-0.04035
Holy Trinity Church of England Primary School,London,London,Hackney,Hackney North and Stoke Newington,E8 3DY,51.54468,-0.074
Our Lady and St Joseph Catholic Primary School,London,London,Hackney,Hackney South and Shoreditch,N1 4JB,51.54494,-0.08043
St John the Baptist Voluntary Aided Church of England Primary School,London,London,Hackney,Hackney South and Shoreditch,N1 6JG,51.53087,-0.08398
St Matthias Church of England Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 8DD,51.55249,-0.07935
St Monica's Roman Catholic Primary School,London,London,Hackney,Hackney South and Shoreditch,N1 6QN,51.52841,-0.08061
St. Paul's With St. Michael's CofE Primary School,London,London,Hackney,Hackney South and Shoreditch,E8 4PB,51.53786,-0.06472
St John of Jerusalem Church of England Primary School,London,London,Hackney,Hackney South and Shoreditch,E9 7JF,51.54008,-0.05015
"St Mary's Church of England Primary School, Stoke Newington",London,London,Hackney,Hackney North and Stoke Newington,N16 0JT,51.56209,-0.08192
St Scholastica's Catholic Primary School,London,London,Hackney,Hackney North and Stoke Newington,E5 8BS,51.55853,-0.05997
Simon Marks Jewish Primary School,London,London,Hackney,Hackney North and Stoke Newington,N16 6PD,51.56539,-0.06936
Haggerston School,London,London,Hackney,Hackney South and Shoreditch,E2 8LS,51.53238,-0.07149
Stoke Newington School and Sixth Form,London,London,Hackney,Hackney North and Stoke Newington,N16 9EX,51.55788,-0.0846
Our Lady's Catholic High School,London,London,Hackney,Hackney North and Stoke Newington,N16 5AF,51.57427,-0.07523
The Urswick School - A Church of England Secondary School,London,London,Hackney,Hackney South and Shoreditch,E9 6NR,51.54446,-0.05262
Cardinal Pole Catholic School,London,London,Hackney,Hackney South and Shoreditch,E9 6LG,51.54678,-0.04671
Stormont House School,London,London,Hackney,Hackney North and Stoke Newington,E5 8NP,51.55275,-0.05943
The Garden School,London,London,Hackney,Hackney North and Stoke Newington,N16 8BZ,51.55416,-0.07846
Ickburgh School,London,London,Hackney,Hackney South and Shoreditch,E9 5RB,51.5466,-0.03668
Randolph Beresford Early Years Centre,London,London,Hammersmith and Fulham,Hammersmith,W12 7PH,51.51127,-0.23164
Vanessa Nursery School,London,London,Hammersmith and Fulham,Hammersmith,W12 9JA,51.50262,-0.2348
James Lee Nursery School,London,London,Hammersmith and Fulham,Hammersmith,W14 9BH,51.49218,-0.21308
Bayonne Nursery School,London,London,Hammersmith and Fulham,Hammersmith,W6 8PF,51.48397,-0.21455
Addison Primary School,London,London,Hammersmith and Fulham,Hammersmith,W14 0DT,51.50029,-0.21835
Avonmore Primary School,London,London,Hammersmith and Fulham,Hammersmith,W14 8SH,51.49489,-0.20933
Brackenbury Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 0BA,51.49983,-0.23227
Miles Coverdale Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 8JJ,51.50486,-0.22905
Flora Gardens Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 0UD,51.49483,-0.23547
Kenmont Primary School,London,London,Hammersmith and Fulham,Hammersmith,NW10 6AL,51.53169,-0.23549
Melcombe Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 9ER,51.48618,-0.22114
Old Oak Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 0AS,51.51943,-0.24656
Sir John Lillie Primary School,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 7LN,51.48326,-0.20922
Wendell Park Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 9LB,51.50375,-0.24838
Wormholt Park Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 0SR,51.51144,-0.24018
All Saints CofE Primary School,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 6ED,51.47285,-0.21363
Holy Cross RC School,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 4BL,51.47594,-0.1975
John Betts Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 0UA,51.49855,-0.23752
St Augustine's RC Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 8QE,51.48428,-0.20961
St Johns Walham Green Church of England Primary School,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 6AS,51.47697,-0.20912
St Mary's Catholic Primary School,London,London,Hammersmith and Fulham,Hammersmith,W14 0LT,51.49893,-0.21593
St Paul's CofE Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 9BP,51.49063,-0.2272
St Peter's Primary School,London,London,Hammersmith and Fulham,Hammersmith,W6 9BA,51.49204,-0.24095
St Stephen's CofE Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 8LH,51.50556,-0.2276
Good Shepherd RC Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 9BY,51.50282,-0.24562
St John XXIII Catholic Primary School,London,London,Hammersmith and Fulham,Hammersmith,W12 7QT,51.51149,-0.23369
St Thomas of Canterbury Catholic Primary School,London,London,Hammersmith and Fulham,Chelsea and Fulham,SW6 7HB,51.48178,-0.2066
Queensmill School,London,London,Hammersmith and Fulham,Hammersmith,W12 0NW,51.50752,-0.24261
Woodlane High School,London,London,Hammersmith and Fulham,Hammersmith,W12 0TN,51.51684,-0.2313
Jack Tizard School,London,London,Hammersmith and Fulham,Hammersmith,W12 7PA,51.51023,-0.23082
Cambridge School,London,London,Hammersmith and Fulham,Hammersmith,W12 0SP,51.51168,-0.23649
Margaret McMillan Nursery School,London,London,Islington,Islington North,N19 3SF,51.57207,-0.12581
Kate Greenaway Nursery School and Children's Centre,London,London,Islington,Islington South and Finsbury,N1 0UH,51.53633,-0.12061
North Islington Nursery School,London,London,Islington,Islington North,N4 3RB,51.56644,-0.11369
New River College Primary,London,London,Islington,Islington South and Finsbury,N1 0HN,51.53776,-0.10832
New River College Secondary,London,London,Islington,Islington South and Finsbury,N7 8RH,51.54789,-0.11334
Ambler Primary School and Children's Centre,London,London,Islington,Islington North,N4 2DR,51.56212,-0.10069
Copenhagen Primary School,London,London,Islington,Islington South and Finsbury,N1 0WF,51.53562,-0.1188
Drayton Park Primary School,London,London,Islington,Islington North,N5 1PJ,51.55154,-0.10574
Duncombe Primary School,London,London,Islington,Islington North,N19 4JA,51.56699,-0.1237
Gillespie Primary School,London,London,Islington,Islington North,N5 1LH,51.55971,-0.10102
Grafton Primary School,London,London,Islington,Islington North,N7 6AR,51.55938,-0.11941
Hanover Primary School,London,London,Islington,Islington South and Finsbury,N1 8BD,51.53294,-0.09872
Hargrave Park Primary School,London,London,Islington,Islington North,N19 5BS,51.56428,-0.14007
Laycock Primary School,London,London,Islington,Islington South and Finsbury,N1 1SW,51.54451,-0.1047
Moreland Primary School,London,London,Islington,Islington South and Finsbury,EC1V 8BB,51.52854,-0.10034
Pakeman Primary School,London,London,Islington,Islington North,N7 6DU,51.55949,-0.11456
Robert Blair School,London,London,Islington,Islington South and Finsbury,N7 9QJ,51.54508,-0.12013
Thornhill Primary School,London,London,Islington,Islington South and Finsbury,N1 1HX,51.54033,-0.10948
Vittoria Primary School,London,London,Islington,Islington South and Finsbury,N1 0TJ,51.53529,-0.11322
Winton Primary School,London,London,Islington,Islington South and Finsbury,N1 9AZ,51.53338,-0.11837
Yerbury Primary School,London,London,Islington,Islington North,N19 4RR,51.56005,-0.13162
Tufnell Park Primary School,London,London,Islington,Islington North,N7 0HJ,51.55433,-0.12972
Highbury Quadrant Primary School,London,London,Islington,Islington North,N5 2DP,51.55394,-0.09187
Ashmount Primary School,London,London,Islington,Islington North,N8 9EG,51.5745,-0.12173
Prior Weston Primary School and Children's Centre,London,London,Islington,Islington South and Finsbury,EC1Y 8JA,51.52192,-0.09334
Sacred Heart Catholic Primary School,London,London,Islington,Islington South and Finsbury,N7 8JN,51.55022,-0.11364
St John Evangelist RC Primary School,London,London,Islington,Islington South and Finsbury,N1 8BL,51.53395,-0.10407
St John's Upper Holloway CofE Primary School,London,London,Islington,Islington North,N19 5RR,51.56265,-0.1316
St John's Highbury Vale CofE Primary School,London,London,Islington,Islington North,N5 1DL,51.55827,-0.10018
St Joseph's Catholic Primary School,London,London,Islington,Islington North,N19 5NE,51.56744,-0.13876
St Jude and St Paul's CofE Primary School,London,London,Islington,Islington North,N1 4AZ,51.54814,-0.07909
St Luke's CofE Primary School,London,London,Islington,Islington South and Finsbury,EC1V 3SJ,51.52654,-0.09196
St Mark's CofE Primary School,London,London,Islington,Islington North,N19 4JF,51.56435,-0.12094
St Mary's CofE Primary School,London,London,Islington,Islington South and Finsbury,N1 2EP,51.53935,-0.09988
St Peter and St Paul RC Primary School,London,London,Islington,Islington South and Finsbury,EC1V 0EU,51.52497,-0.10094
St Andrew's (Barnsbury) Church of England Primary School,London,London,Islington,Islington South and Finsbury,N1 0LB,51.53818,-0.11462
St Joan of Arc RC Primary School,London,London,Islington,Islington North,N5 2UX,51.5566,-0.0961
Christ The King RC Primary School,London,London,Islington,Islington North,N4 3QW,51.56688,-0.11392
Blessed Sacrament RC Primary School,London,London,Islington,Islington South and Finsbury,N1 0UF,51.53661,-0.11905
Holloway School,London,London,Islington,Islington North,N7 0JG,51.55307,-0.12935
Highbury Fields School,London,London,Islington,Islington North,N5 1AR,51.5528,-0.10152
Elizabeth Garrett Anderson School,London,London,Islington,Islington South and Finsbury,N1 9QG,51.53295,-0.11361
Central Foundation Boys' School,London,London,Islington,Islington South and Finsbury,EC2A 4SH,51.52511,-0.08574
St Aloysius RC College,London,London,Islington,Islington North,N6 5LY,51.56981,-0.13866
Richard Cloudesley School,London,London,Islington,Islington South and Finsbury,N1 8RE,51.53599,-0.09823
Samuel Rhodes MLD School,London,London,Islington,Islington North,N5 2EG,51.54964,-0.09766
Golborne Children's Centre,London,London,Kensington and Chelsea,Kensington,W10 5TN,51.52052,-0.20663
St Anne's & Avondale Park Nursery School,London,London,Kensington and Chelsea,Kensington,W11 4EE,51.51065,-0.21377
Chelsea Open Air Nursery School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW3 5JE,51.48503,-0.17004
Maxilla Nursery School,London,London,Kensington and Chelsea,Kensington,W10 5TN,51.52052,-0.20663
Ashburnham Community School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW10 0DT,51.48181,-0.17792
Barlby Primary School,London,London,Kensington and Chelsea,Kensington,W10 6BH,51.5233,-0.21645
Bevington Primary School,London,London,Kensington and Chelsea,Kensington,W10 5TW,51.52124,-0.20887
Bousfield Primary School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW5 0DJ,51.49007,-0.18619
Colville Primary School,London,London,Kensington and Chelsea,Kensington,W11 2DF,51.51463,-0.20366
Fox Primary School,London,London,Kensington and Chelsea,Kensington,W8 7PP,51.50749,-0.1967
Marlborough Primary School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW3 3AP,51.49267,-0.16588
Oxford Gardens Primary School,London,London,Kensington and Chelsea,Kensington,W10 6NF,51.51739,-0.21669
Park Walk Primary School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW10 0AY,51.48415,-0.17797
Avondale Park Primary School,London,London,Kensington and Chelsea,Kensington,W11 4EE,51.51065,-0.21377
Thomas Jones Primary School,London,London,Kensington and Chelsea,Kensington,W11 1RQ,51.51491,-0.21038
Christ Church CofE Primary School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW3 4AA,51.48549,-0.16435
Holy Trinity CofE Primary School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW1X 9DE,51.49329,-0.15669
Oratory Roman Catholic Primary School,London,London,Kensington and Chelsea,Kensington,SW3 6QH,51.49061,-0.17031
St Thomas' CofE Primary School,London,London,Kensington and Chelsea,Kensington,W10 5EF,51.52377,-0.20851
St Barnabas and St Philip's CofE Primary School,London,London,Kensington and Chelsea,Kensington,W8 6EJ,51.49789,-0.19817
Saint Francis of Assisi Catholic Primary School,London,London,Kensington and Chelsea,Kensington,W11 4BJ,51.51221,-0.21693
St Clement and St James CofE Primary School,London,London,Kensington and Chelsea,Kensington,W11 4PG,51.50907,-0.21136
St Joseph's Catholic Primary School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW3 2QT,51.49284,-0.16201
St Mary Abbots CofE Primary School,London,London,Kensington and Chelsea,Kensington,W8 4SP,51.50191,-0.19187
St Cuthbert with St Matthias CofE Primary School,London,London,Kensington and Chelsea,Kensington,SW5 9UE,51.48944,-0.19365
Saint Mary's Catholic Primary School,London,London,Kensington and Chelsea,Kensington,W10 5AW,51.52507,-0.21079
Servite RC Primary School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW10 9NA,51.48503,-0.18307
Saint Thomas More Language College,London,London,Kensington and Chelsea,Chelsea and Fulham,SW3 2QS,51.49289,-0.16217
All Saints Catholic College,London,London,Kensington and Chelsea,Kensington,W10 6EL,51.52063,-0.21411
Our Lady of Victories RC Primary School,London,London,Kensington and Chelsea,Kensington,SW7 5AQ,51.49283,-0.17946
St Charles Catholic Primary School,London,London,Kensington and Chelsea,Kensington,W10 6EB,51.52171,-0.21394
Chelsea  Community Hospital  School,London,London,Kensington and Chelsea,Chelsea and Fulham,SW10 9NH,51.4843,-0.18164
Triangle Nursery School,London,London,Lambeth,Vauxhall,SW4 7JQ,51.4608,-0.13317
Effra Nursery School and Early Years Centre,London,London,Lambeth,Dulwich and West Norwood,SW2 1PL,51.4567,-0.1099
