School name,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Latitude,Longitude
Cheam High School,London,London,Sutton,Sutton and Cheam,SM3 8PW,51.36642,-0.21763
Sutton Grammar School,London,London,Sutton,Sutton and Cheam,SM1 4AS,51.36508,-0.18976
Wallington High School for Girls,London,London,Sutton,Carshalton and Wallington,SM6 0PH,51.34799,-0.14886
Nonsuch High School for Girls,London,London,Sutton,Epsom and Ewell,SM3 8AB,51.35543,-0.22373
Westbourne Primary School,London,London,Sutton,Sutton and Cheam,SM1 2NT,51.37303,-0.20472
Carshalton High School for Girls,London,London,Sutton,Carshalton and Wallington,SM5 2QX,51.36962,-0.16929
Wallington County Grammar School,London,London,Sutton,Carshalton and Wallington,SM6 7PH,51.36901,-0.14919
Carshalton Boys Sports College,London,London,Sutton,Carshalton and Wallington,SM5 1RW,51.37766,-0.17491
Greenshaw High School,London,London,Sutton,Sutton and Cheam,SM1 3DY,51.37642,-0.18317
St Luke's Church of England Primary,London,London,Camden,Hampstead and Kilburn,NW3 7SU,51.55743,-0.1931
Eden Primary,London,London,Haringey,Hornsey and Wood Green,N10 1NR,51.59512,-0.15259
Cranford Primary School,London,London,Hounslow,Feltham and Heston,TW4 6LB,51.47555,-0.41168
Chestnut Grove School,London,London,Wandsworth,Tooting,SW12 8JZ,51.44465,-0.15548
Tiffin School,London,London,Kingston upon Thames,Kingston and Surbiton,KT2 6RL,51.41177,-0.29562
Glenthorne High School,London,London,Sutton,Sutton and Cheam,SM3 9PS,51.38106,-0.20123
Warren Road Primary School,London,London,Bromley,Orpington,BR6 6JF,51.36015,0.09194
Hayes Primary School,London,London,Bromley,Beckenham,BR2 7LQ,51.37936,0.02208
Willow Bank Primary School,London,London,Bexley,Erith and Thamesmead,SE2 9XB,51.49737,0.1253
Aldborough Primary School,London,London,Redbridge,Ilford South,IG3 8HZ,51.57038,0.09531
Etz Chaim Jewish Primary School,London,London,Barnet,Hendon,NW7 4SL,51.61531,-0.24043
Woodpecker Hall Primary Academy,London,London,Enfield,Edmonton,N9 8BF,51.63698,-0.04516
Stratford School Academy,London,London,Newham,West Ham,E7 9PR,51.54074,0.02303
Graveney School,London,London,Wandsworth,Tooting,SW17 9BU,51.42324,-0.15153
Langley Park School for Girls,London,London,Bromley,Beckenham,BR3 3BE,51.3883,-0.01812
Rivers Academy West London,London,London,Hounslow,Feltham and Heston,TW14 9PE,51.45291,-0.42085
